Lon	Lat	h	gravity disturbance(mGal)
15.308	44.992	2500	52.50767444878
15.377	44.948	2500	58.95392153068
15.446	44.904	2500	67.35009071068
15.515	44.86	2500	70.55820596076
15.584	44.816	2500	66.05944484281
15.653	44.772	2500	58.84625486541
15.722	44.728	2500	55.937372451
15.791	44.684	2500	59.59750286806
15.86	44.64	2500	63.40633376993
15.929	44.596	2500	58.31084744408
15.998	44.552	2500	45.65077808536
16.067	44.508	2500	36.6747203854
16.136	44.464	2500	37.15511968068
16.205	44.42	2500	42.71262040838
16.274	44.376	2500	48.46866354526
16.343	44.332	2500	52.20457763642
16.412	44.288	2500	52.53792188178
16.481	44.244	2500	52.79364810615
16.55	44.2	2500	57.29667981154
16.619	44.156	2500	60.12780139493
16.688	44.112	2500	53.39787268674
16.757	44.068	2500	45.47838138045
16.826	44.024	2500	49.83425793821
16.895	43.98	2500	60.93867791623
16.964	43.936	2500	64.63927448692
17.033	43.892	2500	62.84772915208
17.102	43.848	2500	63.849906598
17.171	43.804	2500	61.57322442224
17.24	43.76	2500	49.9575438397
17.309	43.716	2500	44.04581139923
17.378	43.672	2500	59.86097127533
17.447	43.628	2500	82.92293608587
17.516	43.584	2500	82.65068121531
17.585	43.54	2500	53.46018348273
17.654	43.496	2500	17.979813415
17.723	43.452	2500	-7.101843620205
17.792	43.408	2500	-21.77532489842
17.861	43.364	2500	-21.68124111677
17.93	43.32	2500	-0.2554627899443
17.999	43.276	2500	25.94549982575
18.068	43.232	2500	31.2930991937
18.137	43.188	2500	22.03004084613
18.206	43.144	2500	23.47293891614
18.275	43.1	2500	32.10043989359
18.344	43.056	2500	27.14372345896
18.413	43.012	2500	18.36790748975
18.482	42.968	2500	29.84459003024
18.551	42.924	2500	50.50694322861
18.62	42.88	2500	52.22346419345
18.689	42.836	2500	38.67473219632
18.758	42.792	2500	30.42043548156
18.827	42.748	2500	25.00645680925
18.896	42.704	2500	11.19181706279
18.965	42.66	2500	-3.671614130063
19.034	42.616	2500	-11.3878272904
19.103	42.572	2500	-21.00677275756
19.172	42.528	2500	-37.66846939239
19.241	42.484	2500	-48.96781377042
19.31	42.44	2500	-45.31665350118
19.379	42.396	2500	-31.95351079182
19.448	42.352	2500	-16.21915227297
19.517	42.308	2500	-2.150436691473
19.586	42.264	2500	2.781131688856
19.655	42.22	2500	-6.81797093609
19.724	42.176	2500	-21.26579361299
19.793	42.132	2500	-21.70703665811
19.862	42.088	2500	-3.052806898829
19.931	42.044	2500	18.98237920432
20	42	2500	32.02849796526
14.932	44.968	2500	13.8136668264
15.001	44.924	2500	36.68618353387
15.07	44.88	2500	51.68206221082
15.139	44.836	2500	47.02233889979
15.208	44.792	2500	30.08821266519
15.277	44.748	2500	19.7685272477
15.346	44.704	2500	22.97032676992
15.415	44.66	2500	29.51072036055
15.484	44.616	2500	29.733111095
15.553	44.572	2500	25.34143786583
15.622	44.528	2500	22.05617421733
15.691	44.484	2500	22.88909738297
15.76	44.44	2500	28.80232459237
15.829	44.396	2500	36.74457349891
15.898	44.352	2500	40.22848353529
15.967	44.308	2500	38.1880928046
16.036	44.264	2500	34.98951732883
16.105	44.22	2500	29.47944828477
16.174	44.176	2500	19.10545609203
16.243	44.132	2500	13.36930341864
16.312	44.088	2500	22.17132472975
16.381	44.044	2500	35.64791282109
16.45	44	2500	38.9359668949
16.519	43.956	2500	36.51087781069
16.588	43.912	2500	37.95411529239
16.657	43.868	2500	36.80809931925
16.726	43.824	2500	27.56580080678
16.795	43.78	2500	21.92676135948
16.864	43.736	2500	27.13407949653
16.933	43.692	2500	32.36574810757
17.002	43.648	2500	30.9934809815
17.071	43.604	2500	29.83042574467
17.14	43.56	2500	29.35344913464
