Lon	Lat	h	gravity disturbance(mGal)
10	44.083333	124.92078	34.94795698522
10	44.166667	192.24263	40.12743494108
10	44.25	168.15096	-8.161106958049
10	44.333333	610.11018	25.26315726499
10	44.416667	1131.2764	41.97758805393
10	44.5	962.31222	17.21489764339
10	44.583333	584.80354	-55.03665820648
10	44.666667	346.71608	-93.06135403904
10	44.75	375.72955	-97.98076239065
10	44.833333	165.09948	-120.1787534949
10	44.916667	52.186976	-136.8591835904
10	45	48.514794	-132.5497759876
10.083333	42.583333	27.312759	39.71492071226
10.083333	44.083333	375.43657	60.73969443925
10.083333	44.166667	420.34352	55.15447862301
10.083333	44.25	310.72804	-1.028437701578
10.083333	44.333333	1066.7501	63.7181828635
10.083333	44.416667	1260.223	50.58156775206
10.083333	44.5	896.43332	0.8244317410089
10.083333	44.583333	732.79537	-48.79419701656
10.083333	44.666667	276.96562	-106.3320209553
10.083333	44.75	193.98321	-122.7709489164
10.083333	44.833333	93.154835	-133.9144701738
10.083333	44.916667	13.143707	-135.8814229453
10.083333	45	56.486603	-129.1242525546
10.166667	42.75	221.03636	77.10701478256
10.166667	44	4.5845597	28.02988450856
10.166667	44.083333	816.12595	102.7015481249
10.166667	44.166667	716.9735	75.77786727886
10.166667	44.25	676.85043	32.78174997323
10.166667	44.333333	1207.9039	65.01918078943
10.166667	44.416667	978.73017	11.66791307678
10.166667	44.5	758.66304	-37.04940874734
10.166667	44.583333	722.52608	-58.98127925992
10.166667	44.666667	269.75328	-112.6728548083
10.166667	44.75	123.11481	-132.30043524
10.166667	44.833333	83.219338	-128.9341449146
10.166667	44.916667	42.715184	-137.2885076654
10.166667	45	29.884336	-130.448848901
10.25	42.75	133.31243	66.68081413927
10.25	43.916667	18.234746	29.22568226804
10.25	44	510.80435	84.18445963123
10.25	44.083333	1136.2747	122.1314236547
10.25	44.166667	784.46049	73.01292501225
10.25	44.25	1091.737	73.32095174366
10.25	44.333333	1227.8614	57.66517621772
10.25	44.416667	779.09957	-20.93149976243
10.25	44.5	686.70775	-54.64370981194
10.25	44.583333	500.19614	-85.74187008712
10.25	44.666667	271.56415	-117.7415748087
10.25	44.75	120.45387	-134.1807397823
10.25	44.833333	42.960813	-127.8989912914
10.25	44.916667	42.207154	-142.2963466776
10.25	45	19.719267	-130.1952278277
10.333333	43.5	82.118392	62.63048178727
10.333333	43.583333	34.365354	34.54568825099
10.333333	43.666667	0	18.67121414865
10.333333	43.75	0	24.28248690407
10.333333	43.833333	0	37.05458059233
10.333333	43.916667	273.45686	66.24582864703
10.333333	44	867.84815	108.3547782271
10.333333	44.083333	865.52258	88.05915601009
10.333333	44.166667	662.3753	45.85578544702
10.333333	44.25	1393.8408	94.3405079509
10.333333	44.333333	1159.5219	43.41396527323
10.333333	44.416667	658.62024	-44.08571156294
10.333333	44.5	577.43681	-69.88305071136
10.333333	44.583333	271.22256	-120.8199649403
10.333333	44.666667	219.69639	-124.3091062186
10.333333	44.75	67.396535	-143.6947743899
10.333333	44.833333	26.126269	-138.4305352866
10.333333	44.916667	12.662792	-140.4457070976
10.333333	45	41.180891	-119.4921882984
10.416667	42.833333	53.172074	54.55304157458
10.416667	43.416667	56.880482	54.97438818232
10.416667	43.5	146.3742	66.94840221382
10.416667	43.583333	73.245879	46.04602903928
10.416667	43.666667	0	26.67076302174
10.416667	43.75	101.09085	51.00677817307
10.416667	43.833333	65.432006	48.76118315327
10.416667	43.916667	359.8879	67.28118388892
10.416667	44	653.10335	75.50631125319
10.416667	44.083333	411.88751	27.68673648088
10.416667	44.166667	782.64924	44.52678645244
10.416667	44.25	1475.2628	87.68598959215
10.416667	44.333333	976.80802	14.05812595383
10.416667	44.416667	595.00002	-65.16028924892
10.416667	44.5	577.09004	-79.50834944559
10.416667	44.583333	298.5285	-126.9252752502
10.416667	44.666667	179.65039	-124.1963321931
10.416667	44.75	20.678411	-145.4632479575
10.416667	44.833333	85.860938	-136.7009394414
10.416667	44.916667	3.2832793	-134.3651527312
10.416667	45	42.405541	-111.0123898327
10.5	43.333333	18.92743	38.90660969326
10.5	43.416667	116.25228	56.68370088241
10.5	43.5	107.21801	54.4886393822
10.5	43.583333	31.630874	46.40499556334
10.5	43.666667	13.069494	39.93787690781
10.5	43.75	253.19451	78.45891881733
10.5	43.833333	55.49986	50.22919735058
10.5	43.916667	227.49198	51.69992525964
10.5	44	403.26968	43.25905808056
10.5	44.083333	523.92278	29.97952744153
